Customer_ID,Customer_Name,Email,Phone,Gender,Age,City,State,Customer_Segment,Order_ID,Order_Date,Product,Category,Quantity,Unit_Price,Discount,Sales,Payment_Method,Order_Status,Sales_Channel,Rating,Notes
10001,Sneha Sharma,snehasharma768@example.com,9685582861,Male,55.0,Chennai,Tamil Nadu,Corporate,ORD-100000,2025-11-23,Webcam,Electronics,2.0,999.0,0.0,1998.0,Credit Card,Completed,Website,2.0,Fast delivery
10002,Nikhil Mehta,nikhilmehta235@example.com,9582334538,Other,35.0,Bengaluru,Karnataka,Corporate,ORD-100001,2025-03-05,Printer,Electronics,2.0,49999.0,0.2,79998.4,Debit Card,Cancelled,Store,3.0,Fast delivery
10003,Kiran Shetty,kiranshetty877@example.com,9469319644,Other,34.0,Pune,Maharashtra,Consumer,ORD-100002,2025-01-02,Smartphone,Electronics,1.0,3499.0,0.0,3499.0,PayPal,Returned,Social Media,1.0,Urgent
10004,Arjun Das,arjundas731@example.com,9174684276,Male,60.0,Chennai,Tamil Nadu,Corporate,ORD-100003,2024-07-15,USB Hub,Accessories,5.0,2499.0,0.2,9996.0,UPI,Cancelled,Website,1.0,Urgent
10005,Rohit Nair,rohitnair283@example.com,9853573823,Other,59.0,Pune,Maharashtra,Consumer,ORD-100004,2025-11-17,Headphones,Accessories,3.0,2499.0,0.05,7122.15,Net Banking,Pending,Social Media,2.0,Fast delivery
10006,Sanjay Verma,sanjayverma796@example.com,9933223566,Male,32.0,Chennai,Tamil Nadu,Consumer,ORD-100005,2026-05-13,USB Hub,Accessories,5.0,1499.0,0.05,7120.25,Credit Card,Returned,Store,1.0,Fast delivery
10007,Akash Bhat,akashbhat281@example.com,9249926919,Male,65.0,Pune,Maharashtra,Small Business,ORD-100006,2024-05-26,Monitor,Electronics,4.0,3499.0,0.15,11896.6,PayPal,Shipped,Mobile App,5.0,Urgent
10008,Kavya Singh,kavyasingh122@example.com,9264112119,Other,28.0,Delhi,Delhi,Student,ORD-100007,2026-05-31,Printer,Electronics,4.0,799.0,0.0,3196.0,Net Banking,Completed,Marketplace,4.0,Fast delivery
10009,Sanjay Das,sanjaydas916@example.com,9676567501,Female,59.0,Chennai,Tamil Nadu,Small Business,ORD-100008,2025-11-29,Printer,Electronics,1.0,19999.0,0.0,19999.0,Credit Card,Cancelled,Marketplace,2.0,Urgent
10010,Rahul Rao,rahulrao650@example.com,9420452650,Other,50.0,Chennai,Tamil Nadu,Corporate,ORD-100009,2026-06-10,Printer,Electronics,2.0,7999.0,0.0,15998.0,Net Banking,Cancelled,Mobile App,5.0,Fast delivery
10011,Nikhil Bhat,nikhilbhat961@example.com,9489747629,Female,33.0,Bengaluru,Karnataka,Consumer,ORD-100010,2024-04-24,External HDD,Storage,3.0,4999.0,0.0,14997.0,Debit Card,Shipped,Website,1.0,Fast delivery
10012,Meera Iyer,meeraiyer179@example.com,9384602384,Other,56.0,Mumbai,Maharashtra,Student,ORD-100011,2025-07-16,Printer,Electronics,2.0,999.0,0.15,1698.3,Debit Card,Completed,Mobile App,3.0,Urgent
10013,Kavya Nair,kavyanair356@example.com,9122585366,Other,53.0,Jaipur,Rajasthan,Corporate,ORD-100012,2024-03-06,Smartwatch,Wearables,1.0,1499.0,0.1,1349.1,Net Banking,Pending,Website,1.0,Fast delivery
10014,Priya Singh,priyasingh295@example.com,9818309417,Female,31.0,Mumbai,Maharashtra,Corporate,ORD-100013,2024-08-31,Laptop,Electronics,3.0,799.0,0.2,1917.6,PayPal,Shipped,Social Media,4.0,Fast delivery
10015,Meera Shetty,meerashetty443@example.com,9541417711,Female,64.0,Kolkata,West Bengal,Consumer,ORD-100014,2024-12-28,Monitor,Electronics,1.0,799.0,0.15,679.15,PayPal,Completed,Website,4.0,Fast delivery
10016,Amit Shetty,amitshetty153@example.com,9552991960,Male,35.0,Mumbai,Maharashtra,Student,ORD-100015,2025-04-04,Monitor,Electronics,2.0,1499.0,0.2,2398.4,Debit Card,Completed,Marketplace,5.0,Good
10017,Priya Joshi,priyajoshi507@example.com,9616854671,Male,43.0,Jaipur,Rajasthan,Consumer,ORD-100016,2025-02-20,Laptop,Electronics,1.0,1499.0,0.05,1424.05,Debit Card,Returned,Website,4.0,Customer happy
10018,Sanjay Reddy,sanjayreddy204@example.com,9418587604,Male,21.0,Kolkata,West Bengal,Consumer,ORD-100017,2024-06-07,Webcam,Electronics,5.0,19999.0,0.15,84995.75,PayPal,Cancelled,Website,1.0,Fast delivery
10019,Meera Das,,9173574218,Other,22.0,Jaipur,Rajasthan,Corporate,ORD-100018,2026-05-21,Headphones,Accessories,1.0,7999.0,0.0,7999.0,Cash,Completed,Social Media,2.0,Fast delivery
10020,Isha Sharma,ishasharma545@example.com,9439699535,Female,31.0,Mysuru,Karnataka,Small Business,ORD-100019,2025-08-01,Smartphone,Electronics,4.0,19999.0,0.2,63996.8,Debit Card,Cancelled,Marketplace,2.0,Fast delivery
10021,Pooja Nair,poojanair112@example.com,9178663096,Other,31.0,Pune,Maharashtra,Small Business,ORD-100020,2025-07-30,Smartphone,Electronics,1.0,4999.0,0.2,3999.2,Debit Card,Cancelled,Website,2.0,Customer happy
10022,Pooja Kumar,poojakumar693@example.com,9977358886,Other,37.0,Ahmedabad,Gujarat,Consumer,ORD-100021,2024-01-09,Printer,Electronics,3.0,12999.0,0.2,31197.6,Debit Card,Cancelled,Website,1.0,Fast delivery
10023,Shreya Kumar,shreyakumar713@example.com,9781007818,Female,50.0,Chennai,Tamil Nadu,Student,ORD-100022,2024-07-27,Keyboard,Accessories,5.0,1499.0,0.1,6745.5,UPI,Cancelled,Website,4.0,Fast delivery
10024,Rohit Sharma,rohitsharma769@example.com,9574417266,Other,63.0,Bengaluru,Karnataka,Student,ORD-100023,2024-06-14,Mouse,Accessories,2.0,19999.0,0.1,35998.2,Net Banking,Completed,Website,1.0,Fast delivery
