Employee_ID,Employee_Name,Email,Phone,Gender,Date_of_Birth,Age,Department,Job_Title,Employment_Type,Joining_Date,Location,Education,Experience_Years,Annual_Salary,Bonus,Performance_Rating,Manager,Employee_Status,Marital_Status,Leave_Days,Job_Satisfaction,Overtime_Hours,Notes
50233,Manish Patel,manish.patel94@company.com,9654111492,Male,1999-02-17,64,IT,Financial Analyst,Contract,2021-10-29 00:00:00,Kolkata,pHd,15.5,1229851,122985.1,good,Vikram Singh,Inactive,Divorced,21,1,42.0,Fast learner
50562,Arjun Nair,arjun.nair12@company.com,9929020930,Female,1975-06-26,49,Marketing,Support Specialist,Part Time,2025-01-23 00:00:00,,Bachelor's,5.2,1333621,0.0,Excellent,,Inactive,Single,18,2,21.0,Good performer
50585,Rahul Nair,rahul.nair83@company.com,9180753014,Other,1982-12-09,33,Operations,Business Analyst,Part Time,2021-10-20 00:00:00,Noida,PhD,16.6,522850,0.0,Excellent,vIKRAM sINGH,Active,Married,2,2,twenty,
50026,Pooja Reddy,pooja.reddy64@company.com,9828213898,Other,1969-04-06,,HR,Operations Executive,Contract,2026-08-13 00:00:00,Pune,Bachelor'S,16.6,1848838,369767.6,Good,Anil Kumar  ,On Leave,Divorced,-2,2,21.0,
50311,Amit Patel,amit.patel1@company.com,9229516584,Other,1993-07-08,52,Sales,Operations Executive,fULL tIME,2023-09-10 00:00:00,Hyderabad,Master's,-2,1041499,83319.92,Needs Improvement,Sneha Patel,Active,Married,2,3,7.0,
50768,Kiran Gowda,kiran.gowda55@company.com,9988148763,Female,1994-01-21,31, Operations,operations executive,Contract,2026-05-16 00:00:00,Mumbai,Bachelor's,6.0,"1,008,787",201757.4,Good,Rahul Rao,On Leave,Single,16,1,11.0,Fast learner
50213,iSHA nAIR,isha.nair47@company.com,9848481660,Female,1989-01-28,39,Sales,Sales Executive,Part time,2024-01-02 00:00:00,Gurugram,Diploma,3.5,837901,83790.1, Needs Improvement ,Vikram Singh,Active,Divorced,7,5,5.0,Good performer
50695,MEERA KUMAR,meera.kumar90@company.com,9292305597,Male,2008-05-11,24,Operations,Software Engineer,Intern,2024-06-11 00:00:00,Kolkata,PhD,5.2,751030,75103.0,Good,Vikram Singh,Active,single,10,4,16.0,Needs training
50847,Divya Reddy,divya.reddy41@company.com,9546872059,Male,1972-03-09,64,Sales,Support Specialist,Contract,2020-03-29 00:00:00, Mysuru ,PhD,5.9,2051871,102593.55,Good,Anil Kumar,Inactive,Divorced,10,1,42.0,Fast learner
50122,Amit Rao,,9844758247, Other,1974-03-26,24,Procurement,financial analyst,Intern,2020-05-04 00:00:00,MUMBAI,Diploma,12.3,336144,16807.2,Good,Rahul Rao,Active,Married,9,1,twenty,Needs training
51143,Arjun Joshi,arjun.joshi80@company.com,9300016277,Other,1992-08-06,49,Operations,Marketing Analyst,Contract,2024-05-18 00:00:00,Chennai,Bachelor's,15.1,1629067,81453.35,Average,Priya Sharma,Resigned,Divorced,11,1,43.0,Good performer
50995,Sanjay Das,sanjay.das13@company.com,9179425493,Female,1983-10-17,47,IT,Marketing Analyst,Intern,2019-08-13 00:00:00,Hyderabad,Masters,3.5,2158112,107905.6,Average,,Resigned,Single,9,3,28.0,
50146,AMIT PATEL,amit.patel70@company.com,9381317310,Other,2001-10-20,55,Finance,Sales Executive,Contract,2021-12-13 00:00:00,Bengaluru,Diploma  ,13.0,"1,244,099",186614.85,Excellent,VIKRAM SINGH,aCTIVE,Married,14,3,2.0,
50380,Meera Mehta,meera.mehta34@company.com,9439739976,Other,2004-06-12,22,Sales,Operations Executive,Contract,2023-05-25 00:00:00,Noida,PhD,0.6,1739893,86994.65,Good,Priya Sharma,Inactive,Divorced,14,1,4.0,
50570,Sanjay Singh,sanjay.singh31@company.com,9905338514,Male,1995-06-10,52,it,Account Executive,Full Time,2025-03-28 00:00:00,Mumbai,PhD,17.7,311465,24917.2,gOOD,Priya Sharma,On Leave,Divorced,2,5,33.0,
50533,Nikhil Reddy,nikhil.reddy32@company.com,9797126125,Female,1969-02-10,40,IT,Operations Executive,Full Time,2023-05-17 00:00:00,Hyderabad,PhD,0.6,557999,44639.92,Good,Priya Sharma, Resigned ,Married,27,3,30.0,Needs training
50907, Divya Nair,divya.nair80@company.com,9378555988,Male,1986-11-16,39,sales,Data Analyst,Full Time,2026-03-07 00:00:00,Bengaluru,PhD,12.8, 1837191 ,367438.2, Needs Improvement ,Meera Nair,Active,Single,0,5,1.0,
50851, ,meera.kumar28@company.com,9173780637,Other,2007-03-02,20,cUSTOMER sUPPORT,aCCOUNT eXECUTIVE,Contract,2020-01-12 00:00:00,Chennai,Diploma,5.3,1344567,268913.4,Needs Improvement,Sneha Patel,Inactive,Married,21,2,18.0,Fast learner
50944,Rahul Nair,rahul.nair66@company.com,9205865560,Other,1997-06-30,39,Customer Support,Business Analyst,Part Time,2021-09-12 00:00:00,Bengaluru,Bachelor's,3.1,1993652,159492.16,Average,Anil Kumar,Resigned,Single,,3,2.0,Needs training
