Employee_ID,Employee_Name,Email,Phone,Gender,Date_of_Birth,Age,Department,Job_Title,Employment_Type,Joining_Date,Location,Education,Experience_Years,Annual_Salary,Bonus,Performance_Rating,Manager,Employee_Status,Marital_Status,Leave_Days,Job_Satisfaction,Overtime_Hours,Notes
50233,Manish Patel,manish.patel94@company.com,9654111492,Male,1999-02-17,64.0,IT,Financial Analyst,Contract,2021-10-29,Kolkata,PhD,15.5,1229851.0,122985.1,Good,Vikram Singh,Inactive,Divorced,21.0,1.0,42.0,Fast learner
50562,Arjun Nair,arjun.nair12@company.com,9929020930,Female,1975-06-26,49.0,Marketing,Support Specialist,Part Time,2025-01-23,Mysuru,Bachelor's,5.2,1333621.0,0.0,Excellent,Priya Sharma,Inactive,Single,18.0,2.0,21.0,Good performer
50585,Rahul Nair,rahul.nair83@company.com,9180753014,Other,1982-12-09,33.0,Operations,Business Analyst,Part Time,2021-10-20,Noida,PhD,16.6,522850.0,0.0,Excellent,Vikram Singh,Active,Married,2.0,2.0,21.0,Good performer
50026,Pooja Reddy,pooja.reddy64@company.com,9828213898,Other,1969-04-06,41.0,HR,Operations Executive,Contract,2026-08-13,Pune,Bachelor's,16.6,1848838.0,369767.6,Good,Anil Kumar,On Leave,Divorced,2.0,2.0,21.0,Good performer
50311,Amit Patel,amit.patel1@company.com,9229516584,Other,1993-07-08,52.0,Sales,Operations Executive,Full Time,2023-09-10,Hyderabad,Master's,9.2,1041499.0,83319.92,Needs Improvement,Sneha Patel,Active,Married,2.0,3.0,7.0,Good performer
50768,Kiran Gowda,kiran.gowda55@company.com,9988148763,Female,1994-01-21,31.0,Operations,Operations Executive,Contract,2026-05-16,Mumbai,Bachelor's,6.0,1008787.0,201757.4,Good,Rahul Rao,On Leave,Single,16.0,1.0,11.0,Fast learner
50213,Isha Nair,isha.nair47@company.com,9848481660,Female,1989-01-28,39.0,Sales,Sales Executive,Part Time,2024-01-02,Gurugram,Diploma,3.5,837901.0,83790.1,Needs Improvement,Vikram Singh,Active,Divorced,7.0,5.0,5.0,Good performer
50695,Meera Kumar,meera.kumar90@company.com,9292305597,Male,2008-05-11,24.0,Operations,Software Engineer,Intern,2024-06-11,Kolkata,PhD,5.2,751030.0,75103.0,Good,Vikram Singh,Active,Single,10.0,4.0,16.0,Needs training
50847,Divya Reddy,divya.reddy41@company.com,9546872059,Male,1972-03-09,64.0,Sales,Support Specialist,Contract,2020-03-29,Mysuru,PhD,5.9,2051871.0,102593.55,Good,Anil Kumar,Inactive,Divorced,10.0,1.0,42.0,Fast learner
50122,Amit Rao,,9844758247,Other,1974-03-26,24.0,Procurement,Financial Analyst,Intern,2020-05-04,Mumbai,Diploma,12.3,336144.0,16807.2,Good,Rahul Rao,Active,Married,9.0,1.0,21.0,Needs training
51143,Arjun Joshi,arjun.joshi80@company.com,9300016277,Other,1992-08-06,49.0,Operations,Marketing Analyst,Contract,2024-05-18,Chennai,Bachelor's,15.1,1629067.0,81453.35,Average,Priya Sharma,Resigned,Divorced,11.0,1.0,43.0,Good performer
50995,Sanjay Das,sanjay.das13@company.com,9179425493,Female,1983-10-17,47.0,IT,Marketing Analyst,Intern,2019-08-13,Hyderabad,Master's,3.5,2158112.0,107905.6,Average,Priya Sharma,Resigned,Single,9.0,3.0,28.0,Good performer
50146,Amit Patel,amit.patel70@company.com,9381317310,Other,2001-10-20,55.0,Finance,Sales Executive,Contract,2021-12-13,Bengaluru,Diploma,13.0,1244099.0,186614.85,Excellent,Vikram Singh,Active,Married,14.0,3.0,2.0,Good performer
50380,Meera Mehta,meera.mehta34@company.com,9439739976,Other,2004-06-12,22.0,Sales,Operations Executive,Contract,2023-05-25,Noida,PhD,0.6,1739893.0,86994.65,Good,Priya Sharma,Inactive,Divorced,14.0,1.0,4.0,Good performer
50570,Sanjay Singh,sanjay.singh31@company.com,9905338514,Male,1995-06-10,52.0,IT,Account Executive,Full Time,2025-03-28,Mumbai,PhD,17.7,311465.0,24917.2,Good,Priya Sharma,On Leave,Divorced,2.0,5.0,33.0,Good performer
50533,Nikhil Reddy,nikhil.reddy32@company.com,9797126125,Female,1969-02-10,40.0,IT,Operations Executive,Full Time,2023-05-17,Hyderabad,PhD,0.6,557999.0,44639.92,Good,Priya Sharma,Resigned,Married,27.0,3.0,30.0,Needs training
50907,Divya Nair,divya.nair80@company.com,9378555988,Male,1986-11-16,39.0,Sales,Data Analyst,Full Time,2026-03-07,Bengaluru,PhD,12.8,1837191.0,367438.2,Needs Improvement,Meera Nair,Active,Single,0.0,5.0,1.0,Good performer
